Epoch 1/10
step 1820 | loss 1.7456
step 1840 | loss 1.6181
step 1860 | loss 2.1072
step 1880 | loss 0.9057
step 1900 | loss 9.4039
step 1920 | loss 1.0073
step 1940 | loss 0.8798
step 1960 | loss 5.9869
step 1980 | loss 4.5526
step 2000 | loss 1.3049
step 2020 | loss 0.8939
step 2040 | loss 5.0770
step 2060 | loss 3.2248
step 2080 | loss 4.7493
step 2100 | loss 3.7577
step 2120 | loss 3.0590
step 2140 | loss 1.3036
step 2160 | loss 5.1162
step 2180 | loss 1.2998
step 2200 | loss 0.9338
step 2220 | loss 2.0768
step 2240 | loss 5.2692
step 2260 | loss 1.1132
step 2280 | loss 0.7755
step 2300 | loss 1.9416
step 2320 | loss 1.0798
step 2340 | loss 1.1585
step 2360 | loss 1.5704
step 2380 | loss 2.9417
step 2400 | loss 1.1134
step 2420 | loss 1.1142
step 2440 | loss 3.3477
step 2460 | loss 1.0990
step 2480 | loss 3.4893
step 2500 | loss 6.4203
step 2520 | loss 2.9474
step 2540 | loss 4.9411
train loss:    3.3236
val loss:      2.8434
val si-RMSE:   0.6100
saved new best checkpoint

Epoch 6/10
step 0000 | loss 2.9484
step 0020 | loss 1.1305
step 0040 | loss 0.8329
step 0060 | loss 3.2822
step 0080 | loss 2.2826
step 0100 | loss 3.8670
step 0120 | loss 0.4245
step 0140 | loss 2.5423
step 0160 | loss 6.3937
step 0180 | loss 1.7062
step 0200 | loss 5.5544
step 0220 | loss 1.2952
step 0240 | loss 3.2206
step 0260 | loss 4.6958
step 0280 | loss 1.3857
step 0300 | loss 8.1891
step 0320 | loss 1.4728
step 0340 | loss 1.6839
step 0360 | loss 1.3078
step 0380 | loss 2.6763
step 0400 | loss 5.9789
step 0420 | loss 4.0918
step 0440 | loss 1.0265
step 0460 | loss 1.3344
step 0480 | loss 1.5419
step 0500 | loss 4.1345
step 0520 | loss 2.8393
step 0540 | loss 2.1748
step 0560 | loss 4.7437
step 0580 | loss 5.5449
step 0600 | loss 2.2166
step 0620 | loss 0.7258
step 0640 | loss 1.2357
step 0660 | loss 2.9535
step 0680 | loss 1.9424
step 0700 | loss 2.5399
step 0720 | loss 1.4611
step 0740 | loss 1.2879
step 0760 | loss 1.6768
step 0780 | loss 3.7290
step 0800 | loss 0.6040
step 0820 | loss 6.2211
step 0840 | loss 4.3516
step 0860 | loss 1.7329
step 0880 | loss 5.5634
step 0900 | loss 1.1201
step 0920 | loss 3.1241
step 0940 | loss 6.5611
step 0960 | loss 6.2253
step 0980 | loss 1.3346
step 1000 | loss 3.6165
step 1020 | loss 2.5041
step 1040 | loss 1.3937
step 1060 | loss 1.6445
step 1080 | loss 3.3921
step 1100 | loss 0.8521
step 1120 | loss 4.5814
step 1140 | loss 3.1628
step 1160 | loss 1.5444
step 1180 | loss 7.2198
step 1200 | loss 2.0718
step 1220 | loss 1.7545
step 1240 | loss 0.7165
step 1260 | loss 0.6490
step 1280 | loss 2.4371
step 1300 | loss 2.3408
step 1320 | loss 2.4164
step 1340 | loss 2.5855
step 1360 | loss 2.8107
step 1380 | loss 1.5451
step 1400 | loss 11.0307
step 1420 | loss 2.1126
step 1440 | loss 3.1192
step 1460 | loss 0.9444
step 1480 | loss 2.4313
step 1500 | loss 2.3078
step 1520 | loss 1.5994
step 1540 | loss 7.0351
step 1560 | loss 4.9756
step 1580 | loss 0.5447
step 1600 | loss 1.6344
step 1620 | loss 3.0659
step 1640 | loss 3.2404
step 1660 | loss 1.1511
step 1680 | loss 1.9781
step 1700 | loss 1.1725
step 1720 | loss 1.9496
step 1740 | loss 3.4484
step 1760 | loss 1.0582
step 1780 | loss 3.0946
step 1800 | loss 3.7613
step 1820 | loss 3.1385
step 1840 | loss 1.3436
step 1860 | loss 2.9932
step 1880 | loss 2.9913
step 1900 | loss 0.9153
step 1920 | loss 1.1674
step 1940 | loss 1.7981
step 1960 | loss 0.7608
step 1980 | loss 2.8394
step 2000 | loss 1.3654
step 2020 | loss 7.4246
step 2040 | loss 4.5091
step 2060 | loss 3.0003
step 2080 | loss 0.9494
step 2100 | loss 5.7411
step 2120 | loss 2.3023
step 2140 | loss 3.9479
step 2160 | loss 1.0430
step 2180 | loss 4.2467
step 2200 | loss 4.2115
step 2220 | loss 1.0177
step 2240 | loss 1.7603
step 2260 | loss 1.6246
step 2280 | loss 2.7977
step 2300 | loss 2.9245
step 2320 | loss 3.6145
step 2340 | loss 2.5791
step 2360 | loss 1.8756
step 2380 | loss 6.4546
step 2400 | loss 1.6325
step 2420 | loss 1.9486
step 2440 | loss 1.7643
step 2460 | loss 0.5036
step 2480 | loss 3.5983
step 2500 | loss 3.5772
step 2520 | loss 4.9327
step 2540 | loss 3.9634
train loss:    3.0340
val loss:      3.4811
val si-RMSE:   0.7299

Epoch 7/10
step 0000 | loss 1.5240
step 0020 | loss 2.9355
step 0040 | loss 2.8084
step 0060 | loss 6.2146
step 0080 | loss 1.7735
step 0100 | loss 1.9952
step 0120 | loss 3.3238
step 0140 | loss 1.7621
step 0160 | loss 4.5211
step 0180 | loss 2.5691
step 0200 | loss 3.8396
step 0220 | loss 2.7042
step 0240 | loss 2.3249
step 0260 | loss 4.3148
step 0280 | loss 2.9258
step 0300 | loss 3.7084
step 0320 | loss 7.2127
step 0340 | loss 1.1851
step 0360 | loss 3.1808
step 0380 | loss 2.2003
step 0400 | loss 3.1739
step 0420 | loss 2.3635
step 0440 | loss 1.8048
step 0460 | loss 3.3019
step 0480 | loss 6.9555
step 0500 | loss 1.3505
step 0520 | loss 2.4401
step 0540 | loss 0.5609
step 0560 | loss 5.8183
step 0580 | loss 2.9394
step 0600 | loss 2.5610
step 0620 | loss 2.6639
step 0640 | loss 2.3629
step 0660 | loss 3.8863
step 0680 | loss 7.8721
step 0700 | loss 0.7670
step 0720 | loss 2.3544
step 0740 | loss 4.9754
step 0760 | loss 3.4012
step 0780 | loss 1.9518
step 0800 | loss 1.5011
step 0820 | loss 1.6635
step 0840 | loss 2.8533
step 0860 | loss 1.6945
step 0880 | loss 0.7474
step 0900 | loss 1.6604
step 0920 | loss 3.6816
step 0940 | loss 2.7732
step 0960 | loss 4.0034
step 0980 | loss 4.7073
step 1000 | loss 4.3742
step 1020 | loss 0.8506
step 1040 | loss 4.0900
